city,lon,lat,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sunrise,sunset,country,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,air_quality_dt
Lahore,74.3436,31.5497,Smoke,smoke,284.14,283.15,284.14,284.14,1020,71,4000,0,0,1,26/12/2024 19:59,27/12/2024 2:00,27/12/2024 12:06,PK,5,3311.16,1.75,74.03,4.92,6.62,393.77,489,15.96,26/12/2024 20:00
Karachi,67.0822,24.9056,Haze,haze,289.05,287.51,289.05,289.05,1020,31,5000,3.09,30,0,26/12/2024 19:56,27/12/2024 2:14,27/12/2024 12:50,PK,5,807.76,0,12.51,114.44,13.11,96.04,121.54,7.6,26/12/2024 20:00
Islamabad,73.1338,33.7104,Clear,clear sky,281.95,280.93,281.95,281.95,1021,66,10000,2.02,43,0,26/12/2024 19:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,4592.9,70.63,120.64,0,13.35,169.53,229.4,27.61,26/12/2024 20:00
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.57,284.14,284.14,1020,87,1000,1.54,220,100,27/12/2024 6:38,27/12/2024 2:00,27/12/2024 12:06,PK,5,3952.03,14.75,89.11,101.57,25.75,412.97,487.37,16.21,27/12/2024 6:40
Karachi,67.0822,24.9056,Haze,haze,294.05,292.8,294.05,294.05,1022,23,4000,1.54,360,0,27/12/2024 6:28,27/12/2024 2:14,27/12/2024 12:50,PK,4,734.33,2.65,14.57,124.45,12.28,57.58,85.18,8.11,27/12/2024 6:40
Islamabad,73.1338,33.7104,Clouds,few clouds,290.84,289.79,290.84,290.84,1021,43,10000,2.47,202,20,27/12/2024 6:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1922.61,11.29,54.15,80.11,26.46,116.31,137.06,9.37,27/12/2024 6:40
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.57,284.14,284.14,1020,87,1000,1.54,220,100,27/12/2024 6:38,27/12/2024 2:00,27/12/2024 12:06,PK,5,3952.03,14.75,89.11,101.57,25.75,412.97,487.37,16.21,27/12/2024 6:40
Karachi,67.0822,24.9056,Haze,haze,294.05,292.8,294.05,294.05,1021,23,4000,1.54,360,0,27/12/2024 6:36,27/12/2024 2:14,27/12/2024 12:50,PK,4,734.33,2.65,14.57,124.45,12.28,57.58,85.18,8.11,27/12/2024 6:40
Islamabad,73.1338,33.7104,Clouds,few clouds,290.84,289.79,290.84,290.84,1021,43,10000,2.47,202,20,27/12/2024 6:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1922.61,11.29,54.15,80.11,26.46,116.31,137.06,9.37,27/12/2024 6:40
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.57,284.14,284.14,1020,87,1000,1.54,220,100,27/12/2024 6:38,27/12/2024 2:00,27/12/2024 12:06,PK,5,3952.03,14.75,89.11,101.57,25.75,412.97,487.37,16.21,27/12/2024 6:40
Karachi,67.0822,24.9056,Haze,haze,294.05,292.8,294.05,294.05,1021,23,4000,1.54,360,0,27/12/2024 6:36,27/12/2024 2:14,27/12/2024 12:50,PK,4,734.33,2.65,14.57,124.45,12.28,57.58,85.18,8.11,27/12/2024 6:40
Islamabad,73.1338,33.7104,Clouds,few clouds,290.84,289.79,290.84,290.84,1021,43,10000,2.47,202,20,27/12/2024 6:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1922.61,11.29,54.15,80.11,26.46,116.31,137.06,9.37,27/12/2024 6:40
Lahore,74.3436,31.5497,Mist,mist,286.14,285.79,286.14,286.14,1019,88,800,3.09,40,100,27/12/2024 9:30,27/12/2024 2:00,27/12/2024 12:06,PK,5,2777.1,3.58,63.06,155.93,40.05,344.28,409.48,17.73,27/12/2024 9:42
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:40,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 9:42
Islamabad,73.1338,33.7104,Clouds,broken clouds,289.73,288.88,289.73,289.73,1019,55,10000,1.58,115,78,27/12/2024 9:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1762.39,6.87,56.89,82.97,12.76,120.34,144.3,13.68,27/12/2024 9:42
Lahore,74.3436,31.5497,Mist,mist,286.14,285.79,286.14,286.14,1019,88,800,3.09,40,100,27/12/2024 9:30,27/12/2024 2:00,27/12/2024 12:06,PK,5,2777.1,3.58,63.06,155.93,40.05,344.28,409.48,17.73,27/12/2024 9:42
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:40,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 9:42
Islamabad,73.1338,33.7104,Clouds,broken clouds,289.73,288.88,289.73,289.73,1019,55,10000,1.58,115,78,27/12/2024 9:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1762.39,6.87,56.89,82.97,12.76,120.34,144.3,13.68,27/12/2024 9:42
Lahore,74.3436,31.5497,Mist,mist,286.14,285.79,286.14,286.14,1019,88,800,3.09,40,100,27/12/2024 9:30,27/12/2024 2:00,27/12/2024 12:06,PK,5,2777.1,3.58,63.06,155.93,40.05,344.28,409.48,17.73,27/12/2024 9:42
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:40,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 9:42
Islamabad,73.1338,33.7104,Clouds,broken clouds,289.73,288.88,289.73,289.73,1019,55,10000,1.58,115,78,27/12/2024 9:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1762.39,6.87,56.89,82.97,12.76,120.34,144.3,13.68,27/12/2024 9:42
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1019,93,600,4.12,50,100,27/12/2024 9:56,27/12/2024 2:00,27/12/2024 12:06,PK,5,2777.1,3.58,63.06,155.93,40.05,344.28,409.48,17.73,27/12/2024 10:00
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:51,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 10:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,291.35,289.96,291.35,291.35,1019,28,10000,1.58,115,78,27/12/2024 9:59,27/12/2024 2:10,27/12/2024 12:06,PK,5,1762.39,6.87,56.89,82.97,12.76,120.34,144.3,13.68,27/12/2024 10:00
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1020,93,1000,3.09,40,100,27/12/2024 13:58,27/12/2024 2:00,27/12/2024 12:06,PK,5,2803.8,0.07,97.33,29.68,26.94,227.93,254.84,22.29,27/12/2024 13:58
Karachi,67.0822,24.9056,Haze,haze,293.05,292.14,293.05,293.05,1020,40,4000,3.09,150,0,27/12/2024 13:56,27/12/2024 2:14,27/12/2024 12:50,PK,5,3204.35,15.42,112.41,1.65,27.9,149.9,192.98,39.52,27/12/2024 13:58
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.84,285.02,285.84,285.84,1021,71,10000,3.08,49,52,27/12/2024 13:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,5874.63,72.42,208.38,0,25.03,262.3,323.13,45.6,27/12/2024 13:58
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1020,93,1000,3.09,40,100,27/12/2024 13:53,27/12/2024 2:00,27/12/2024 12:06,PK,5,2803.8,0.07,97.33,29.68,26.94,227.93,254.84,22.29,27/12/2024 13:58
Karachi,67.0822,24.9056,Haze,haze,293.05,292.14,293.05,293.05,1020,40,4000,3.09,150,0,27/12/2024 13:48,27/12/2024 2:14,27/12/2024 12:50,PK,5,3204.35,15.42,112.41,1.65,27.9,149.9,192.98,39.52,27/12/2024 13:58
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.84,285.02,285.84,285.84,1021,71,10000,3.08,49,52,27/12/2024 13:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,5874.63,72.42,208.38,0,25.03,262.3,323.13,45.6,27/12/2024 13:58
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1020,93,1000,3.09,40,100,27/12/2024 13:53,27/12/2024 2:00,27/12/2024 12:06,PK,5,2803.8,0.07,97.33,29.68,26.94,227.93,254.84,22.29,27/12/2024 13:58
Karachi,67.0822,24.9056,Haze,haze,293.05,292.14,293.05,293.05,1020,40,4000,3.09,150,0,27/12/2024 13:56,27/12/2024 2:14,27/12/2024 12:50,PK,5,3204.35,15.42,112.41,1.65,27.9,149.9,192.98,39.52,27/12/2024 14:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.84,285.02,285.84,285.84,1021,71,10000,3.08,49,52,27/12/2024 13:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,5874.63,72.42,208.38,0,25.03,262.3,323.13,45.6,27/12/2024 13:58
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,1500,1.54,360,100,27/12/2024 14:55,27/12/2024 2:00,27/12/2024 12:06,PK,5,2937.32,0.36,101.45,16.99,23.84,214.3,246.32,21.03,27/12/2024 15:00
Karachi,67.0822,24.9056,Haze,haze,291.05,290.15,291.05,291.05,1020,48,4000,2.06,100,0,27/12/2024 15:00,27/12/2024 2:14,27/12/2024 12:50,PK,5,4165.65,39.79,102.82,0,33.85,217.59,269.75,54.21,27/12/2024 15:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.28,284.43,285.28,285.28,1021,72,10000,3.02,99,62,27/12/2024 15:00,27/12/2024 2:10,27/12/2024 12:06,PK,5,6835.94,81.36,227.57,0,20.98,283.34,348.92,39.52,27/12/2024 15:00
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,1500,2.57,20,75,27/12/2024 15:57,27/12/2024 2:00,27/12/2024 12:06,PK,5,3738.4,8.61,115.16,2.68,20.5,263.19,309.6,19.76,27/12/2024 16:00
Karachi,67.0822,24.9056,Haze,haze,289.05,288.13,289.05,289.05,1020,55,4000,2.57,70,0,27/12/2024 15:58,27/12/2024 2:14,27/12/2024 12:50,PK,5,4486.08,47.39,91.85,0,34.33,255.02,313.7,60.29,27/12/2024 16:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,284.17,283.26,284.17,284.17,1022,74,10000,3.29,126,74,27/12/2024 15:59,27/12/2024 2:10,27/12/2024 12:06,PK,5,6141.66,63.48,200.15,0,11.56,252.52,310.36,28.37,27/12/2024 16:00
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,2000,2.57,60,75,27/12/2024 16:47,27/12/2024 2:00,27/12/2024 12:06,PK,5,5020.14,33.53,122.01,0,17.64,350.64,419.35,19.76,27/12/2024 17:00
Karachi,67.0822,24.9056,Haze,haze,289.05,288.24,289.05,289.05,1021,59,4000,3.09,50,0,27/12/2024 16:47,27/12/2024 2:14,27/12/2024 12:50,PK,5,4539.49,49.17,80.88,0,32.9,266.74,327.06,61.81,27/12/2024 17:00
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,2500,1.54,30,75,27/12/2024 18:00,27/12/2024 2:00,27/12/2024 12:06,PK,5,6034.85,56.77,123.38,0,16.45,423.15,506.76,19.76,27/12/2024 18:00
Karachi,67.0822,24.9056,Haze,haze,288.05,286.67,288.05,288.05,1020,41,4000,2.06,60,0,27/12/2024 17:58,27/12/2024 2:14,27/12/2024 12:50,PK,5,4165.65,46.05,71.97,0,27.66,246.15,302.51,54.72,27/12/2024 18:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,283.06,282.01,283.06,283.06,1022,79,10000,2.3,36,83,27/12/2024 17:57,27/12/2024 2:10,27/12/2024 12:06,PK,5,2937.32,19.89,93.22,0.06,3.99,150.67,197.24,17.23,27/12/2024 18:00
Lahore,74.3436,31.5497,Smoke,smoke,288.14,287.44,288.14,288.14,1018,67,2500,1.54,150,20,28/12/2024 8:55,28/12/2024 2:00,28/12/2024 12:07,PK,4,934.6,2.91,23.31,105.86,32.42,68.11,88.24,4.37,28/12/2024 8:56
Karachi,67.0822,24.9056,Haze,haze,298.05,297.01,298.05,298.05,1019,16,5000,1.54,340,0,28/12/2024 8:53,28/12/2024 2:15,28/12/2024 12:51,PK,3,567.44,1.9,11.31,137.33,11.33,31.34,57.45,6.14,28/12/2024 8:56
Islamabad,73.1338,33.7104,Clouds,few clouds,289.17,288.37,289.17,289.17,1018,59,10000,2.05,198,22,28/12/2024 8:54,28/12/2024 2:11,28/12/2024 12:06,PK,5,1762.39,6.76,41.13,100.14,13.95,151.71,174.04,9.37,28/12/2024 8:56
Lahore,74.3436,31.5497,Smoke,smoke,288.14,287.44,288.14,288.14,1018,67,2500,1.54,150,20,28/12/2024 8:56,28/12/2024 2:00,28/12/2024 12:07,PK,4,934.6,2.91,23.31,105.86,32.42,68.11,88.24,4.37,28/12/2024 8:56
Karachi,67.0822,24.9056,Haze,haze,298.05,297.01,298.05,298.05,1019,16,5000,1.54,340,0,28/12/2024 8:53,28/12/2024 2:15,28/12/2024 12:51,PK,3,567.44,1.9,11.31,137.33,11.33,31.34,57.45,6.14,28/12/2024 8:56
Islamabad,73.1338,33.7104,Clouds,few clouds,289.17,288.37,289.17,289.17,1018,59,10000,2.05,198,22,28/12/2024 8:54,28/12/2024 2:11,28/12/2024 12:06,PK,5,1762.39,6.76,41.13,100.14,13.95,151.71,174.04,9.37,28/12/2024 8:56
Lahore,74.3436,31.5497,Smoke,smoke,288.14,287.44,288.14,288.14,1018,67,2500,1.54,150,20,28/12/2024 8:56,28/12/2024 2:00,28/12/2024 12:07,PK,4,934.6,2.91,23.31,105.86,32.42,68.11,88.24,4.37,28/12/2024 8:56
Karachi,67.0822,24.9056,Haze,haze,298.05,297.01,298.05,298.05,1019,16,5000,1.54,340,0,28/12/2024 8:56,28/12/2024 2:15,28/12/2024 12:51,PK,3,567.44,1.9,11.31,137.33,11.33,31.34,57.45,6.14,28/12/2024 8:56
Islamabad,73.1338,33.7104,Clouds,few clouds,289.17,288.37,289.17,289.17,1018,59,10000,2.05,198,22,28/12/2024 8:54,28/12/2024 2:11,28/12/2024 12:06,PK,5,1762.39,6.76,41.13,100.14,13.95,151.71,174.04,9.37,28/12/2024 8:56
Lahore,74.3436,31.5497,Smoke,smoke,288.14,287.44,288.14,288.14,1018,67,2500,1.54,150,20,28/12/2024 8:56,28/12/2024 2:00,28/12/2024 12:07,PK,4,934.6,2.91,23.31,105.86,32.42,68.11,88.24,4.37,28/12/2024 8:56
Karachi,67.0822,24.9056,Haze,haze,298.05,297.01,298.05,298.05,1019,16,5000,1.54,340,0,28/12/2024 8:53,28/12/2024 2:15,28/12/2024 12:51,PK,3,567.44,1.9,11.31,137.33,11.33,31.34,57.45,6.14,28/12/2024 8:56
Islamabad,73.1338,33.7104,Clouds,few clouds,289.17,288.37,289.17,289.17,1018,59,10000,2.05,198,22,28/12/2024 8:54,28/12/2024 2:11,28/12/2024 12:06,PK,5,1762.39,6.76,41.13,100.14,13.95,151.71,174.04,9.37,28/12/2024 8:56
Lahore,74.3436,31.5497,Smoke,smoke,289.14,288.34,289.14,289.14,1018,59,3000,1.54,300,20,28/12/2024 10:00,28/12/2024 2:00,28/12/2024 12:07,PK,5,1148.22,4.08,35.3,90.84,31.95,77.77,102.32,7.85,28/12/2024 10:00
Karachi,67.0822,24.9056,Haze,haze,298.05,296.94,298.05,298.05,1018,13,5000,2.57,250,0,28/12/2024 9:52,28/12/2024 2:15,28/12/2024 12:51,PK,3,527.38,1.61,11.14,137.33,13.47,32.21,60.22,5.57,28/12/2024 10:00
Islamabad,73.1338,33.7104,Clouds,scattered clouds,289.73,288.96,289.73,289.73,1018,58,10000,2,215,28,28/12/2024 9:59,28/12/2024 2:11,28/12/2024 12:06,PK,5,1922.61,6.04,52.78,101.57,16.21,167.47,191.72,13.17,28/12/2024 10:00
Lahore,74.3436,31.5497,Smoke,smoke,290.14,289.54,290.14,290.14,1018,63,3000,1.54,30,40,28/12/2024 10:28,28/12/2024 2:00,28/12/2024 12:07,PK,5,2002.72,4.58,53.47,62.23,9.42,139.11,178.4,13.43,28/12/2024 10:31
Karachi,67.0822,24.9056,Haze,haze,298.05,296.94,298.05,298.05,1018,13,5000,2.57,310,0,28/12/2024 10:26,28/12/2024 2:15,28/12/2024 12:51,PK,3,487.33,1.52,13.37,127.32,28.61,36.91,74.12,4.69,28/12/2024 10:31
Islamabad,73.1338,33.7104,Clouds,scattered clouds,289.73,288.91,289.73,289.73,1018,56,10000,2,215,28,28/12/2024 10:29,28/12/2024 2:11,28/12/2024 12:06,PK,5,3070.83,11.74,119.27,50.78,29.56,138.54,165.37,24.83,28/12/2024 10:31
Lahore,74.3436,31.5497,Smoke,smoke,290.14,289.54,290.14,290.14,1018,63,3000,1.54,50,40,2024-12-28 10:53:37,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,2002.72,4.58,53.47,62.23,9.42,139.11,178.4,13.43,2024-12-28 11:00:03
Karachi,67.0822,24.9056,Haze,haze,298.05,296.88,298.05,298.05,1018,11,5000,0.0,0,0,2024-12-28 10:57:50,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,3,487.33,1.52,13.37,127.32,28.61,36.91,74.12,4.69,2024-12-28 11:00:04
Islamabad,73.1338,33.7104,Clouds,few clouds,289.17,288.32,289.17,289.17,1018,57,10000,1.9,225,24,2024-12-28 10:51:51,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,3070.83,11.74,119.27,50.78,29.56,138.54,165.37,24.83,2024-12-28 11:00:04
Lahore,74.3436,31.5497,Smoke,smoke,289.14,288.54,289.14,289.14,1019,67,4000,1.54,290,40,2024-12-28 12:00:10,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,2590.18,5.98,86.37,16.45,10.97,152.52,203.93,18.49,2024-12-28 12:00:11
Karachi,67.0822,24.9056,Haze,haze,298.05,297.12,298.05,298.05,1018,20,5000,3.6,220,0,2024-12-28 11:56:09,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,3,487.33,0.95,15.94,114.44,30.52,34.59,72.5,4.31,2024-12-28 12:00:12
Islamabad,73.1338,33.7104,Clouds,few clouds,288.06,287.28,288.06,288.06,1019,64,10000,1.87,242,20,2024-12-28 11:50:13,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,3791.81,14.31,163.14,10.46,33.38,148.57,178.08,31.67,2024-12-28 12:00:13
Lahore,74.3436,31.5497,Smoke,smoke,289.14,288.54,289.14,289.14,1019,67,4000,1.54,300,40,2024-12-28 12:15:09,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,2590.18,5.98,86.37,16.45,10.97,152.52,203.93,18.49,2024-12-28 12:15:44
Karachi,67.0822,24.9056,Haze,haze,297.05,296.2,297.05,297.05,1018,27,4000,4.12,230,0,2024-12-28 12:08:07,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,3,487.33,0.95,15.94,114.44,30.52,34.59,72.5,4.31,2024-12-28 12:15:45
Islamabad,73.1338,33.7104,Clouds,few clouds,288.06,287.3,288.06,288.06,1019,65,10000,1.49,201,18,2024-12-28 12:09:13,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,3791.81,14.31,163.14,10.46,33.38,148.57,178.08,31.67,2024-12-28 12:15:46
Lahore,74.3436,31.5497,Smoke,smoke,288.14,287.57,288.14,288.14,1020,72,4000,1.54,330,40,2024-12-28 12:59:21,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,3231.05,26.15,93.22,0.07,14.07,162.94,227.41,25.84,2024-12-28 13:00:09
Karachi,67.0822,24.9056,Haze,haze,296.05,295.26,296.05,296.05,1019,33,4000,3.09,240,0,2024-12-28 12:56:30,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,3,961.3,0.23,41.13,75.1,35.29,48.05,88.99,10.89,2024-12-28 13:00:10
Islamabad,73.1338,33.7104,Clear,clear sky,286.95,286.19,286.95,286.95,1020,69,10000,0.51,210,0,2024-12-28 13:00:10,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,4432.68,32.63,180.96,0.01,34.81,160.26,194.89,38.0,2024-12-28 13:00:11
Lahore,74.3436,31.5497,Smoke,smoke,287.14,286.47,287.14,287.14,1020,72,4000,2.06,280,40,2024-12-28 13:51:16,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,3524.78,40.23,85.0,0.0,16.21,175.0,256.25,33.95,2024-12-28 14:00:07
Karachi,67.0822,24.9056,Haze,haze,293.05,292.19,293.05,293.05,1019,42,4000,2.06,290,0,2024-12-28 13:59:42,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,4,1468.66,0.02,61.01,37.19,35.29,71.3,115.92,19.51,2024-12-28 14:00:09
Islamabad,73.1338,33.7104,Clear,clear sky,285.28,284.4,285.28,285.28,1021,71,10000,1.2,38,0,2024-12-28 13:53:26,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,4753.11,39.79,191.93,0.0,34.33,172.84,214.41,43.57,2024-12-28 14:00:09
Lahore,74.3436,31.5497,Smoke,smoke,286.14,285.48,286.14,286.14,1021,76,4000,1.54,280,40,2024-12-28 14:59:03,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,3578.19,41.13,78.14,0.0,17.88,193.72,293.58,41.54,2024-12-28 15:00:08
Karachi,67.0822,24.9056,Haze,haze,293.05,291.98,293.05,293.05,1020,34,4000,1.54,290,0,2024-12-28 15:00:09,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,5,1602.17,0.07,59.63,28.61,27.42,84.53,128.11,23.81,2024-12-28 15:00:09
